mangled,demangled,tag,functor,scalar_type,source_file,num_instructions_sm75,max_gpr_sm75,min_gpr_sm75,max_pred_sm75,min_pred_sm75,max_ugpr_sm75,min_ugpr_sm75,num_instructions_sm80,max_gpr_sm80,min_gpr_sm80,max_pred_sm80,min_pred_sm80,max_ugpr_sm80,min_ugpr_sm80,num_instructions_sm86,max_gpr_sm86,min_gpr_sm86,max_pred_sm86,min_pred_sm86,max_ugpr_sm86,min_ugpr_sm86,num_instructions_sm90,max_gpr_sm90,min_gpr_sm90,max_pred_sm90,min_pred_sm90,max_ugpr_sm90,min_ugpr_sm90,num_instructions_sm100,max_gpr_sm100,min_gpr_sm100,max_pred_sm100,min_pred_sm100,max_ugpr_sm100,min_ugpr_sm100,num_instructions_sm103,max_gpr_sm103,min_gpr_sm103,max_pred_sm103,min_pred_sm103,max_ugpr_sm103,min_ugpr_sm103,num_instructions_sm120,max_gpr_sm120,min_gpr_sm120,max_pred_sm120,min_pred_sm120,max_ugpr_sm120,min_ugpr_sm120,is_simple_sm75,is_simple_sm80,is_simple_sm86,is_simple_sm90,is_simple_sm100,is_simple_sm103,is_simple_sm120
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIbEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<bool>, std::array<char*, 2ul> >(at::native::AbsFunctor<bool>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<bool>,bool,AbsKernel.cu,16,17,10,3,0,0,0,17,17,10,3,0,2,0,17,17,10,3,0,2,0,17,17,10,3,0,2,0,13,16,10,4,0,2,0,13,16,10,4,0,2,0,13,16,10,4,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIN3c108BFloat16EEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<c10::BFloat16>, std::array<char*, 2ul> >(at::native::AbsFunctor<c10::BFloat16>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<c10::BFloat16>,c10::BFloat16,AbsKernel.cu,36,22,10,4,0,0,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,15,17,10,0,0,2,0,15,17,10,0,0,2,0,15,17,10,0,0,2,0,15,17,10,0,0,2,0,false,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIN3c104HalfEEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<c10::Half>, std::array<char*, 2ul> >(at::native::AbsFunctor<c10::Half>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<c10::Half>,c10::Half,AbsKernel.cu,12,17,10,0,0,0,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,13,17,10,0,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIfEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(at::native::AbsFunctor<float>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<float>,float,AbsKernel.cu,6,17,10,0,0,0,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIdEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<double>, std::array<char*, 2ul> >(at::native::AbsFunctor<double>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<double>,double,AbsKernel.cu,20,36,24,0,0,0,0,9,32,20,0,0,2,0,17,32,20,0,0,2,0,9,32,20,0,0,2,0,9,32,20,0,0,2,0,21,32,20,0,0,2,0,21,32,20,0,0,2,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIsEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<short>, std::array<char*, 2ul> >(at::native::AbsFunctor<short>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<short>,short,AbsKernel.cu,20,20,10,0,0,0,0,21,19,10,0,0,2,0,21,20,10,0,0,2,0,21,19,10,0,0,2,0,17,17,10,0,0,2,0,17,17,10,0,0,2,0,17,17,10,0,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIlEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<long>, std::array<char*, 2ul> >(at::native::AbsFunctor<long>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<long>,long,AbsKernel.cu,26,35,20,4,0,0,0,31,35,20,3,0,2,0,27,35,20,5,0,2,0,31,35,20,3,0,2,0,28,34,20,3,0,2,0,28,34,20,3,0,2,0,33,34,20,4,0,2,0,false,false,false,false,false,false,false
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIiEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<int>, std::array<char*, 2ul> >(at::native::AbsFunctor<int>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<int>,int,AbsKernel.cu,6,17,10,0,0,0,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,7,17,10,0,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIaEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<signed char>, std::array<char*, 2ul> >(at::native::AbsFunctor<signed char>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<signed char>,signed char,AbsKernel.cu,19,17,10,0,0,0,0,20,17,10,0,0,2,0,20,17,10,0,0,2,0,20,17,10,0,0,2,0,24,17,10,0,0,2,0,24,17,10,0,0,2,0,24,17,10,0,0,2,0,true,true,true,true,true,true,true
_ZN2at6native17simple_gpu_kernelILi45ENS0_10AbsFunctorIhEESt5arrayIPcLm2EEEEvT0_T1_,"void at::native::simple_gpu_kernel<45, at::native::AbsFunctor<unsigned char>, std::array<char*, 2ul> >(at::native::AbsFunctor<unsigned char>, std::array<char*, 2ul>)",45,at::native::AbsFunctor<unsigned char>,unsigned char,AbsKernel.cu,27,16,1,1,0,0,0,27,16,1,1,0,2,0,27,16,1,1,0,2,0,27,16,1,1,0,2,0,27,16,1,1,0,2,0,27,16,1,1,0,2,0,27,16,1,1,0,2,0,true,true,true,true,true,true,true
